date,松山機場,中山國中,南京復興,忠孝復興,大安,科技大樓,六張犁,麟光,辛亥,萬芳醫院,萬芳社區,木柵,動物園,大直,劍南路,西湖,港墘,文德,內湖,大湖公園,葫洲,東湖,南港軟體園區,南港展覽館,小碧潭,新店,新店區公所,七張,大坪林,景美,萬隆,公館,台電大樓,古亭,中正紀念堂,小南門,頂溪,永安市場,景安,南勢角,台大醫院,台北車站,中山,雙連,民權西路,圓山,劍潭,士林,芝山,明德,石牌,唭哩岸,奇岩,北投,新北投,復興崗,忠義,關渡,竹圍,紅樹林,淡水,永寧,土城,海山,亞東醫院,府中,板橋,新埔,江子翠,龍山寺,西門,善導寺,忠孝新生,忠孝敦化,國父紀念館,市政府,永春,後山埤,昆陽,南港,象山,台北101/世貿,信義安和,大安森林公園,北門,松江南京,台北小巨蛋,南京三民,松山,輔大,新莊,頭前庄,先嗇宮,三重,菜寮,台北橋,大橋頭,中山國小,行天宮,東門,蘆洲,三民高中,徐匯中學,三和國中,三重國小,迴龍,丹鳳,頂埔
01/01/2015,5051,9286,16721,50540,11286,7811,6858,3248,1952,7981,1590,3576,19293,5401,12739,4763,5249,3409,6153,3738,5147,6192,1261,16943,2152,12523,9357,11161,13058,12470,6945,24580,16784,19491,21347,2943,27774,19211,18469,16888,12060,203030,34749,18504,15407,31945,51801,33800,18394,7630,22390,5152,5017,15144,14116,2824,1883,9808,8296,6730,59920,13984,5746,15891,9877,24628,46584,28009,17473,30936,87943,11894,22727,34544,22629,57460,11816,16446,8675,9372,9667,31330,10741,7232,3824,17397,9794,11917,22910,7674,9025,4135,1814,2977,5868,7970,7633,11209,18929,22245,8572,9546,9716,8465,9352,6826,6395,0
01/02/2015,4783,9742,18474,55266,12264,8764,7682,3407,2066,8963,1870,4083,24767,5753,11948,5284,5586,3565,7042,4578,5152,6200,1162,15627,2102,13206,8988,11304,13344,12504,7097,25465,17732,21891,20730,3356,29461,20402,19147,17496,15743,179177,36707,20779,16121,26577,50889,35557,19992,8866,25338,5251,5084,16184,16036,2868,2286,9871,8751,6700,61998,13908,5996,15822,11448,25608,43967,28127,18558,28908,86030,12129,25401,39132,25264,57989,12605,17162,9336,9457,10268,29646,11925,8449,4104,18329,10593,12449,23615,7664,9782,4129,1786,2908,6248,8164,8204,11330,18358,22865,9065,9766,10137,8625,9676,6513,6308,0
01/03/2015,4373,10106,18397,51824,12941,8648,7704,3273,2515,9112,1907,3613,20881,6101,11871,5946,5981,3770,7047,4946,5386,6528,1184,17283,2483,13506,9599,11951,14276,13467,7773,27975,18027,23283,22359,3816,29864,21298,19503,18199,12065,164355,35376,19429,16332,27995,45022,31539,20664,8752,24292,5613,4996,16216,14046,3113,1913,8997,8663,6420,58902,13987,5931,16671,11292,26198,41815,29629,19089,28461,84224,13175,26234,36547,24146,53847,13797,16260,9443,9334,10255,26544,12057,11143,3736,18500,13757,12592,22408,8115,9883,4036,1787,3140,6378,8402,7906,11007,18274,23076,9137,10200,10335,9126,10159,6672,6617,0
01/04/2015,4792,8906,15448,40817,11497,8612,7036,3276,2527,9464,1509,2997,13051,6172,12297,5559,5574,3783,6582,4684,4853,5954,1110,14788,2168,12018,8974,11286,14318,14199,7454,28278,16516,22674,19258,3506,27730,19954,18000,16212,9968,152177,29812,14560,15942,25473,35074,25725,22976,7837,22302,5231,4446,15682,10234,2785,1776,8923,7992,5808,51931,12555,5460,15201,9745,22194,36761,27548,18108,24024,63951,13057,23462,29026,17997,43594,13518,13999,9612,8669,9084,21732,10198,10106,3468,14583,9572,11027,15142,8712,8613,4427,1845,2834,5869,6759,7014,10159,17037,19497,7777,8960,9667,8083,9280,6293,6131,0
01/05/2015,5462,15527,31777,43265,22511,14910,11304,3553,2943,15804,1955,4735,5858,10380,8859,17235,14348,5366,7436,2941,7871,8233,2671,27430,1983,10198,11698,14726,19680,15868,8127,25936,17228,31924,24920,8082,34809,24987,24808,19944,25047,126789,30733,23258,24213,24170,33805,28735,22218,12666,32203,7390,7592,19037,5885,3376,3021,14211,9981,7571,38269,15062,6614,19901,17448,25266,34001,38908,24012,27169,56263,21454,28532,36705,21604,51619,19244,17833,16105,10344,8492,22476,14705,5819,4945,35233,16982,16680,16065,13770,10516,4255,3930,3741,8032,8068,10847,15880,27097,20961,10349,11533,11514,10775,11076,7894,7044,0
01/06/2015,4940,15852,32909,44257,23173,15058,11512,3693,3044,16229,2002,4641,7040,10425,8920,17790,14529,5365,7553,3041,7927,8523,2824,28518,2110,10068,11910,14859,20050,15540,8433,24721,17733,32707,26193,8072,35221,25639,25280,20463,25869,123954,32151,23431,24826,25437,34504,29246,23496,13151,32105,7427,7385,19668,6196,3687,3149,13946,10294,7595,35667,15232,6508,20123,17912,26019,34432,39106,24462,26238,57606,22627,28828,37422,22561,51847,20648,17967,16118,10412,8547,22682,15521,5827,4953,35949,17634,17456,16499,13641,10924,4209,3997,3926,8389,8094,11209,15989,27847,21583,10656,11837,11758,11205,11021,7815,7162,0
01/07/2015,4834,16401,34004,45348,23865,15350,11445,3742,3020,16158,1925,4635,5442,10550,9542,18120,14734,5371,7781,2803,8062,8620,2919,28475,2101,10062,11854,15052,20178,16051,8535,25562,18218,33408,26371,8309,35535,26030,25496,20364,25836,125121,32907,23346,24842,24597,34142,29588,24291,13077,32537,7357,7211,19619,6429,3548,3042,14124,10190,7393,34545,15440,6624,20355,17748,26147,35175,39380,24732,26250,58816,23871,29562,39340,23105,53069,20691,18211,16256,10606,8529,22817,15730,5827,5132,36536,18128,17815,16496,13424,10832,4298,4054,3948,8568,8190,11252,16424,27064,22149,10741,11989,11881,11258,11142,7812,7297,0
01/08/2015,4904,16216,34280,46342,23692,15551,11536,3689,2966,16068,1962,4597,5952,10553,9802,18366,14920,5514,7840,2860,8170,8502,2931,28720,2234,9900,11890,15135,20587,16173,8610,25606,18769,33277,26679,8170,35415,26256,25324,20511,26193,128770,33608,23561,25091,24766,33918,29934,23605,12964,32886,7432,7469,19663,6736,3406,3185,14391,10341,7447,35125,15533,6523,20289,17972,26533,35508,39484,25053,26719,59889,23972,30039,39614,23349,55100,20732,18127,16115,10913,8554,23579,15895,5591,5090,37718,18510,17917,16653,13592,11123,4771,4248,3961,8646,8072,11381,16427,27805,22097,10762,12087,11860,11337,11216,7977,7382,0
01/09/2015,5196,17259,36147,52914,24953,16112,12077,3848,3250,16569,2031,4703,6825,10519,12036,18607,15497,5830,8271,3155,8386,9039,3151,30889,2298,10875,12448,16073,21606,17625,9079,28417,20708,35555,29141,8523,37629,27747,26749,21567,26727,159105,38393,25293,26434,26753,38550,32237,25463,13187,33942,7699,7823,20235,7517,3816,3268,14164,10521,7968,37848,16294,7028,21344,18101,29198,39672,41433,26310,27244,71576,24465,32676,44390,25843,62025,21764,19065,16868,11618,9352,33570,17165,6558,5629,39411,19800,18834,18892,13798,11863,4794,4139,4330,8660,8878,11770,17624,29433,24691,11376,12766,12593,11495,11661,8516,7757,0
01/10/2015,4021,11875,23510,54736,15266,11472,8863,3534,3021,10456,1677,3382,8957,7803,14334,7178,7782,4402,7822,3615,5863,7470,1224,21187,2392,11579,10262,12969,17339,17627,8689,32342,21181,29983,25105,4625,32673,22997,21900,19167,15661,161106,39409,21679,19173,25087,39857,30465,22411,9641,27036,6062,5643,16804,10675,3353,2021,9006,9485,6394,38360,14232,6322,17440,13000,28992,39057,33931,22250,27501,78746,17086,33056,41300,24260,56540,16795,16987,10480,9021,8268,37099,13144,9114,4239,22253,17230,13792,19829,10018,11330,5632,2411,3458,7212,8771,9073,13056,20990,23853,9639,10753,11568,9630,10777,7467,6952,0
